season,zone,LST_C
Winter,Rural,35.78850000000002
Winter,Rural,36.10600000000004
Winter,Rural,35.962000000000025
Winter,Rural,32.96000000000003
Winter,Rural,32.94350000000003
Winter,Rural,33.17800000000003
Winter,Rural,34.63650000000002
Winter,Rural,35.16600000000003
Winter,Rural,35.059000000000026
Winter,Rural,34.44000000000001
Winter,Rural,34.36650000000003
Winter,Rural,34.94050000000003
Winter,Rural,35.439500000000024
Winter,Rural,35.50400000000003
Winter,Rural,35.38950000000003
Winter,Rural,35.006500000000024
Winter,Rural,32.658500000000025
Winter,Rural,32.38050000000004
Winter,Rural,32.79400000000003
Winter,Rural,32.871500000000026
Winter,Rural,32.707000000000036
Winter,Rural,33.51900000000003
Winter,Rural,34.40250000000004
Winter,Rural,34.49200000000003
Winter,Rural,34.073000000000036
Winter,Rural,34.30500000000004
Winter,Rural,34.808000000000014
Winter,Rural,35.20850000000003
Winter,Rural,35.202500000000015
Winter,Rural,35.08800000000002
Winter,Rural,31.917000000000023
Winter,Rural,31.995000000000015
Winter,Rural,32.29000000000003
Winter,Rural,32.498500000000035
Winter,Rural,32.84700000000002
Winter,Rural,33.71700000000002
Winter,Rural,34.16500000000002
Winter,Rural,34.04650000000001
Winter,Rural,33.87150000000004
Winter,Rural,34.03550000000003
Winter,Rural,34.09500000000001
Winter,Rural,34.51150000000003
Winter,Rural,34.88100000000003
Winter,Rural,35.03300000000004
Winter,Rural,35.20600000000003
Winter,Rural,30.675000000000033
Winter,Rural,32.90600000000002
Winter,Rural,33.478500000000025
Winter,Rural,34.181000000000026
Winter,Rural,34.47650000000003
Winter,Rural,34.61700000000003
Winter,Rural,34.63800000000003
Winter,Rural,34.72150000000004
Winter,Rural,34.683000000000035
Winter,Rural,33.931000000000026
Winter,Rural,33.71400000000002
Winter,Rural,33.91800000000003
Winter,Rural,34.29000000000002
Winter,Rural,34.62650000000003
Winter,Rural,29.62500000000003
Winter,Rural,30.34200000000003
Winter,Rural,31.363000000000028
Winter,Rural,32.76750000000003
Winter,Rural,33.75100000000002
Winter,Rural,34.20950000000003
Winter,Rural,34.38250000000002
Winter,Rural,34.671000000000035
Winter,Rural,34.89400000000004
Winter,Rural,34.483000000000025
Winter,Rural,34.09700000000004
Winter,Rural,34.75750000000002
Winter,Rural,30.13700000000002
Winter,Rural,30.790000000000028
Winter,Rural,33.44950000000004
Winter,Rural,34.41800000000002
Winter,Rural,34.52800000000003
Winter,Rural,34.08000000000003
Winter,Rural,34.34700000000002
Winter,Rural,35.11450000000002
Winter,Rural,32.34150000000004
Winter,Rural,33.18150000000003
Winter,Rural,33.22400000000003
Winter,Rural,31.80150000000004
Winter,Rural,34.33700000000002
Winter,Rural,34.42550000000004
Winter,Rural,34.04550000000004
Winter,Rural,34.512000000000036
Winter,Rural,29.942000000000036
Winter,Rural,31.008000000000028
Winter,Rural,33.27100000000003
Winter,Rural,33.83850000000003
Winter,Rural,33.559000000000026
Winter,Rural,32.47300000000003
Winter,Rural,32.523000000000025
Winter,Rural,31.611500000000024
Winter,Rural,30.771000000000026
Winter,Rural,30.331000000000028
Winter,Rural,30.91850000000003
Winter,Rural,31.80800000000002
Winter,Rural,32.94100000000002
Winter,Rural,33.52300000000004
Winter,Rural,33.62400000000003
Winter,Rural,32.88700000000003
Winter,Rural,31.732500000000023
Winter,Rural,31.865500000000043
Winter,Rural,31.970000000000027
Winter,Rural,30.911000000000023
Winter,Rural,30.404000000000032
Winter,Rural,31.573500000000035
Winter,Rural,32.75100000000003
Winter,Rural,34.16750000000002
Winter,Rural,34.320500000000024
Winter,Rural,33.72300000000003
Winter,Rural,32.59250000000004
Winter,Rural,31.426000000000034
Winter,Rural,31.11300000000004
Winter,Rural,31.437000000000022
Winter,Rural,30.745000000000026
Winter,Rural,30.771000000000026
Winter,Rural,30.38300000000003
Winter,Rural,34.94700000000003
Winter,Rural,33.97650000000003
Winter,Rural,32.84550000000003
Winter,Rural,31.582500000000017
Winter,Rural,31.168500000000044
Winter,Rural,32.134500000000024
Winter,Rural,32.28550000000003
Winter,Rural,35.79100000000003
Winter,Rural,33.86200000000002
Winter,Rural,32.62000000000003
Winter,Rural,33.00600000000002
Winter,Rural,32.863000000000014
Winter,Rural,30.633500000000026
Winter,Rural,30.45300000000003
Winter,Rural,32.04400000000003
Winter,Rural,33.36000000000003
Winter,Rural,34.699000000000034
Winter,Rural,35.749000000000024
Winter,Rural,35.15900000000003
Winter,Rural,34.248000000000026
Winter,Rural,33.644000000000034
Winter,Rural,33.25300000000003
Winter,Rural,33.52900000000004
Winter,Rural,33.015500000000024
Winter,Rural,32.50650000000003
Winter,Rural,32.94700000000002
Winter,Rural,32.89950000000002
Winter,Rural,32.46650000000003
Winter,Rural,31.32700000000002
Winter,Rural,31.11300000000002
Winter,Rural,31.52600000000003
Winter,Rural,32.71600000000002
Winter,Rural,33.584500000000034
Winter,Rural,34.44050000000003
Winter,Rural,34.920000000000016
Winter,Rural,33.962000000000025
Winter,Rural,33.79600000000003
Winter,Rural,33.44200000000002
Winter,Rural,33.210500000000025
Winter,Rural,32.36450000000003
Winter,Rural,32.58950000000003
Winter,Rural,32.89350000000003
Winter,Rural,31.31800000000003
Winter,Rural,31.464500000000026
Winter,Rural,30.61600000000003
Winter,Rural,31.426500000000022
Winter,Rural,32.70900000000004
Winter,Rural,33.88250000000003
Winter,Rural,34.143500000000024
Winter,Rural,33.906000000000034
Winter,Rural,34.000000000000014
Winter,Rural,33.09750000000003
Winter,Rural,28.847500000000025
Winter,Rural,31.118500000000022
Winter,Rural,31.83500000000002
Winter,Rural,32.79050000000002
Winter,Rural,34.05500000000003
Winter,Rural,35.281000000000034
Winter,Rural,35.461000000000034
Winter,Rural,34.863500000000045
Winter,Rural,33.93750000000002
Winter,Rural,33.14000000000003
Winter,Rural,29.16850000000003
Winter,Rural,28.68350000000002
Winter,Rural,28.65500000000003
Winter,Rural,32.314000000000036
Winter,Rural,33.070000000000036
Winter,Rural,33.35700000000004
Winter,Rural,33.34700000000002
Winter,Rural,33.37150000000002
Winter,Rural,33.30950000000002
